,index,age,marital,education,balance,loan,previous,y
3320,3519,41,married,primary,2453,no,0,yes
3348,3548,42,single,secondary,1364,no,0,yes
3357,3557,46,married,secondary,668,no,0,yes
3371,3571,32,single,secondary,772,no,0,yes
3475,3681,39,married,tertiary,94,yes,0,yes
3494,3701,33,married,tertiary,273,no,0,yes
3495,3702,42,divorced,secondary,153,no,0,yes
3500,3708,31,single,tertiary,144,no,0,yes
3504,3712,40,married,secondary,446,no,0,yes
3506,3714,26,married,secondary,246,no,0,yes
3522,3730,45,married,primary,804,no,0,yes
3540,3749,31,married,secondary,92,no,0,yes
3560,3770,29,single,secondary,163,yes,0,yes
3593,3804,27,single,secondary,1742,no,0,yes
3608,3819,37,divorced,secondary,49,no,0,yes
3618,3829,40,married,primary,1758,no,0,yes
3619,3830,33,single,secondary,-416,no,0,yes
3624,3835,24,single,secondary,409,no,0,yes
3629,3840,24,married,primary,656,no,0,yes
3663,3876,50,divorced,secondary,363,no,0,yes
3668,3881,27,single,tertiary,3706,no,0,yes
3765,3982,54,single,tertiary,4393,no,0,yes
3781,3999,30,single,secondary,863,no,0,yes
3814,4035,34,married,primary,695,yes,0,yes
3820,4042,37,single,secondary,792,no,0,yes
3866,4090,41,single,secondary,1020,no,0,yes
3911,4136,47,married,secondary,863,no,0,yes
3958,4185,31,married,secondary,97,no,0,yes
3973,4200,31,married,secondary,754,no,0,yes
4036,4271,43,divorced,secondary,1040,no,0,yes
4075,4313,37,divorced,tertiary,122,no,0,yes
4088,4326,30,single,tertiary,880,yes,0,yes
4091,4329,41,married,secondary,501,no,0,yes
4131,4377,30,single,tertiary,3291,no,0,yes
4155,4402,36,married,secondary,4438,no,0,yes
4169,4416,35,divorced,secondary,0,no,0,yes
4180,4427,29,single,secondary,271,no,0,yes
4184,4431,35,married,primary,102,no,0,yes
4207,4455,31,married,secondary,2,no,0,yes
4259,4509,35,married,secondary,4170,no,0,yes
4353,4607,34,single,secondary,85,no,0,yes
4379,4634,31,single,secondary,431,yes,0,yes
4385,4640,44,divorced,secondary,982,no,0,yes
4419,4675,36,married,primary,408,yes,0,yes
4425,4682,39,single,secondary,1022,no,0,yes
4491,4753,41,married,primary,1250,no,0,yes
4500,4765,31,married,secondary,3311,no,0,yes
4547,4813,31,single,primary,216,no,0,yes
4552,4818,34,married,secondary,1207,no,0,yes
4568,4835,32,married,secondary,791,no,0,yes
4596,4866,36,married,tertiary,849,yes,0,yes
4627,4897,30,single,secondary,239,no,0,yes
4645,4916,37,single,secondary,1211,no,0,yes
4670,4941,54,divorced,tertiary,487,no,0,yes
4677,4948,36,married,primary,599,no,0,yes
4730,5003,31,single,tertiary,825,no,0,yes
4751,5024,27,married,secondary,2183,yes,0,yes
4761,5034,34,married,primary,4499,no,0,yes
4779,5052,32,single,secondary,-198,no,0,yes
4782,5055,30,single,tertiary,1289,no,0,yes
4784,5057,32,single,tertiary,4665,no,0,yes
4869,5144,37,single,secondary,3326,no,0,yes
4887,5162,38,married,secondary,622,no,0,yes
4899,5174,32,married,secondary,783,no,0,yes
4918,5194,33,married,secondary,0,no,0,yes
4960,5236,35,married,primary,994,no,0,yes
4975,5251,35,divorced,tertiary,1354,no,0,yes
5000,5276,30,single,secondary,239,no,0,yes
5007,5283,30,married,secondary,278,yes,0,yes
5064,5342,34,married,secondary,2495,no,0,yes
5182,5470,45,divorced,primary,-311,no,0,yes
5195,5483,45,married,secondary,149,no,0,yes
5211,5499,33,married,secondary,1464,no,0,yes
5226,5515,33,divorced,secondary,3546,no,0,yes
5253,5542,44,divorced,tertiary,5773,no,0,yes
5257,5546,40,married,primary,278,no,0,yes
5286,5575,31,married,secondary,2910,no,0,yes
5375,5669,30,married,tertiary,541,no,0,yes
5408,5705,44,divorced,secondary,1262,no,0,yes
5444,5741,34,married,secondary,-538,no,0,yes
5470,5768,31,single,secondary,747,no,0,yes
5485,5783,45,married,secondary,61,no,0,yes
5505,5803,37,married,secondary,125,no,0,yes
5547,5846,28,single,tertiary,0,no,0,yes
5557,5856,32,single,secondary,620,no,0,yes
5567,5866,37,divorced,secondary,316,no,0,yes
5588,5888,34,married,tertiary,2287,no,0,yes
5631,5932,38,divorced,secondary,198,no,0,yes
5637,5938,28,single,secondary,460,no,0,yes
5657,5959,31,divorced,tertiary,1145,no,0,yes
5671,5973,30,married,secondary,129,no,0,yes
5674,5976,30,married,secondary,1265,yes,0,yes
5703,6005,59,married,secondary,-22,no,0,yes
5704,6006,24,married,secondary,685,no,0,yes
5719,6021,26,single,secondary,901,no,0,yes
5808,6112,59,single,secondary,351,no,0,yes
5837,6141,53,married,secondary,-725,no,0,yes
5857,6162,30,single,primary,0,yes,0,yes
5878,6184,28,single,tertiary,939,no,0,yes
5962,6270,37,married,secondary,274,no,0,yes
6002,6312,24,single,tertiary,2984,no,0,yes
6027,6337,30,single,secondary,-213,yes,0,yes
6080,6391,25,married,secondary,97,no,0,yes
6139,6451,44,divorced,secondary,51,yes,0,yes
6284,6598,29,married,tertiary,314,no,0,yes
6312,6626,26,single,tertiary,6840,no,0,yes
6317,6631,26,single,secondary,668,no,0,yes
6368,6683,27,single,secondary,54,no,0,yes
6431,6751,25,single,secondary,1242,no,0,yes
6453,6773,28,married,secondary,292,no,0,yes
6454,6774,23,single,secondary,665,no,0,yes
6479,6800,27,single,secondary,294,yes,0,yes
6499,6821,23,single,tertiary,1129,no,0,yes
6501,6823,46,married,secondary,57,no,0,yes
6528,6854,57,married,tertiary,0,yes,0,yes
6548,6874,34,single,tertiary,1058,no,0,yes
6590,6918,28,single,secondary,949,no,0,yes
6753,7090,35,married,secondary,0,yes,0,yes
6783,7123,35,married,secondary,404,no,0,yes
6804,7145,27,single,secondary,2486,no,0,yes
6821,7164,56,married,secondary,249,no,0,yes
6847,7191,45,divorced,secondary,3354,no,0,yes
6894,7242,60,divorced,secondary,0,no,0,yes
6929,7281,56,married,secondary,589,no,0,yes
6969,7324,33,single,primary,127,no,0,yes
6979,7334,27,single,tertiary,12956,no,0,yes
6992,7348,30,married,secondary,873,no,0,yes
7021,7379,45,divorced,primary,594,no,0,yes
7097,7457,29,single,secondary,-20,no,0,yes
7100,7460,38,divorced,tertiary,4692,no,0,yes
7104,7464,34,married,primary,1031,no,0,yes
7119,7480,30,married,secondary,486,no,0,yes
7120,7481,44,single,primary,1593,no,0,yes
7180,7543,36,single,tertiary,7606,no,0,yes
7191,7555,40,single,secondary,5637,no,0,yes
7224,7590,38,married,secondary,226,no,0,yes
7245,7611,36,single,secondary,366,yes,0,yes
7266,7632,37,divorced,secondary,16,no,0,yes
7269,7635,35,single,tertiary,565,no,0,yes
7271,7637,48,married,secondary,0,no,0,yes
7292,7659,38,divorced,secondary,19,no,0,yes
7299,7666,40,married,primary,1082,no,0,yes
7301,7668,42,divorced,secondary,1713,no,0,yes
7307,7674,46,divorced,tertiary,14481,no,0,yes
7360,7728,35,divorced,secondary,5724,no,0,yes
7364,7732,34,divorced,secondary,1451,no,0,yes
7371,7739,29,single,tertiary,121,no,0,yes
7376,7744,32,married,secondary,-34,no,0,yes
7394,7763,50,married,secondary,3674,no,0,yes
7398,7767,35,married,secondary,698,yes,0,yes
7425,7795,36,single,secondary,4136,no,0,yes
7439,7811,53,divorced,primary,2656,no,0,yes
7449,7821,32,single,secondary,562,no,0,yes
7478,7851,46,single,tertiary,2904,no,0,yes
7493,7866,26,single,tertiary,1004,no,0,yes
7539,7914,45,single,secondary,410,no,0,yes
7541,7916,31,divorced,primary,0,no,0,yes
7546,7922,29,single,tertiary,0,no,0,yes
7550,7926,53,single,secondary,62,no,0,yes
7577,7953,27,married,primary,416,no,0,yes
7638,8014,39,married,tertiary,2763,no,0,yes
7641,8017,36,married,secondary,2984,no,0,yes
7645,8021,41,married,primary,143,yes,0,yes
7657,8034,36,married,primary,0,no,0,yes
7705,8082,32,married,secondary,696,no,0,yes
7707,8084,35,married,secondary,152,no,0,yes
7762,8139,36,single,tertiary,-78,no,0,yes
7782,8160,35,married,tertiary,867,no,0,yes
7808,8186,30,single,secondary,953,no,0,yes
7835,8213,42,married,secondary,443,no,0,yes
7840,8218,42,single,secondary,-1129,no,0,yes
7887,8267,32,married,primary,415,no,0,yes
7956,8340,40,married,secondary,1960,no,0,yes
7960,8344,29,single,secondary,260,no,0,yes
7961,8345,44,divorced,tertiary,-411,no,0,yes
7999,8383,32,single,secondary,1279,no,0,yes
8007,8392,31,married,secondary,86,yes,0,yes
8056,8442,40,married,secondary,-754,yes,0,yes
8073,8459,43,married,secondary,0,no,0,yes
8102,8489,27,single,secondary,178,no,0,yes
8135,8522,37,single,secondary,278,no,0,yes
8169,8559,23,single,secondary,425,no,0,yes
8174,8564,25,married,primary,168,no,0,yes
8180,8570,26,single,secondary,-36,no,0,yes
8182,8572,47,divorced,primary,126,no,0,yes
8235,8628,45,single,primary,1893,no,0,yes
8252,8646,35,married,secondary,-87,no,0,yes
8309,8706,32,single,tertiary,6281,no,0,yes
8319,8718,45,divorced,secondary,644,no,0,yes
8331,8731,24,married,secondary,-389,yes,0,yes
8344,8744,30,divorced,secondary,377,no,0,yes
8345,8745,33,single,secondary,76,no,0,yes
8355,8755,29,single,secondary,-271,no,0,yes
8360,8760,38,married,primary,5839,no,0,yes
8386,8787,23,single,secondary,492,no,0,yes
8410,8811,27,single,tertiary,99,no,0,yes
8416,8817,27,single,tertiary,-713,no,0,yes
8420,8821,29,single,secondary,32,no,0,yes
8431,8832,30,married,tertiary,543,yes,0,yes
8433,8834,36,married,primary,403,no,0,yes
8483,8884,27,married,secondary,419,no,0,yes
8488,8889,35,divorced,secondary,437,no,0,yes
8572,8976,50,married,primary,705,no,0,yes
8603,9011,36,married,secondary,1772,no,0,yes
8617,9025,59,married,secondary,0,no,0,yes
8632,9040,59,divorced,primary,-88,no,0,yes
8635,9044,47,married,secondary,0,no,0,yes
8640,9049,58,married,tertiary,853,no,0,yes
8658,9069,37,single,tertiary,240,no,0,yes
8675,9087,46,single,secondary,849,no,0,yes
8689,9104,43,single,secondary,318,no,0,yes
8692,9107,27,single,tertiary,703,no,0,yes
8707,9123,38,divorced,secondary,61,no,0,yes
8717,9134,53,married,primary,104,yes,0,yes
8725,9143,47,married,secondary,1996,no,0,yes
8726,9144,56,divorced,primary,1238,no,0,yes
8727,9145,41,married,secondary,879,no,0,yes
8730,9148,29,married,secondary,425,no,0,yes
8782,9205,35,married,secondary,188,yes,0,yes
8786,9209,38,single,secondary,3239,no,0,yes
8812,9237,50,married,secondary,416,no,0,yes
8817,9242,45,divorced,primary,844,no,0,yes
8839,9265,35,married,secondary,860,no,0,yes
8888,9319,35,single,secondary,1015,no,0,yes
8909,9340,39,married,tertiary,1047,no,0,yes
8946,9380,26,single,secondary,639,no,0,yes
8947,9381,26,married,secondary,710,yes,0,yes
8996,9434,30,single,secondary,223,no,0,yes
9003,9441,38,single,tertiary,619,no,0,yes
9004,9442,28,single,secondary,-1042,no,0,yes
9014,9453,54,divorced,primary,351,no,0,yes
9035,9476,41,married,primary,1461,no,0,yes
9050,9492,37,divorced,secondary,319,no,0,yes
9057,9499,53,married,secondary,480,no,0,yes
9071,9515,29,single,primary,213,no,0,yes
9129,9578,35,single,tertiary,68,no,0,yes
9132,9581,47,divorced,secondary,295,no,0,yes
9194,9647,28,married,secondary,2788,no,0,yes
9218,9671,36,married,secondary,1245,no,0,yes
9316,9774,49,divorced,secondary,-46,no,0,yes
9341,9799,50,married,secondary,1595,no,0,yes
9365,9825,43,single,tertiary,1046,no,0,yes
9375,9836,58,divorced,tertiary,1382,no,0,yes
9422,9888,38,married,primary,217,no,0,yes
9433,9900,48,divorced,primary,183,no,0,yes
9479,9947,59,married,secondary,1321,no,0,yes
9490,9958,38,divorced,tertiary,1805,no,0,yes
9492,9961,58,married,secondary,25,no,0,yes
9517,9986,52,married,secondary,-519,no,0,yes
9524,9993,36,single,tertiary,4844,no,0,yes
9575,10049,42,married,tertiary,5345,no,0,yes
9579,10053,41,single,secondary,812,yes,0,yes
9589,10063,42,married,secondary,105,no,0,yes
9596,10070,39,married,tertiary,-190,yes,0,yes
9622,10097,57,married,primary,625,yes,0,yes
9623,10098,51,married,secondary,1435,no,0,yes
9666,10154,56,married,secondary,1210,no,0,yes
9669,10157,49,married,tertiary,64,no,0,yes
9724,10217,36,married,secondary,1766,no,0,yes
9747,10241,40,single,tertiary,1248,no,0,yes
9781,10278,37,single,tertiary,8828,no,0,yes
9787,10285,55,married,secondary,0,no,0,yes
9801,10299,58,married,secondary,826,no,0,yes
9830,10329,39,married,tertiary,2630,no,0,yes
9877,10380,47,single,tertiary,3727,no,0,yes
9898,10403,40,married,secondary,406,no,0,yes
9911,10416,35,married,tertiary,2999,no,0,yes
9912,10417,48,married,secondary,1000,no,0,yes
9916,10421,27,single,secondary,18188,no,0,yes
9937,10442,48,divorced,tertiary,503,yes,0,yes
9949,10454,24,single,secondary,-203,no,0,yes
9978,10484,49,married,primary,361,no,0,yes
9990,10496,36,married,secondary,274,no,0,yes
9997,10503,52,divorced,tertiary,3687,yes,0,yes
10002,10508,38,married,secondary,1627,no,0,yes
10043,10555,36,married,secondary,981,no,0,yes
10045,10557,36,divorced,secondary,638,no,0,yes
10079,10593,48,single,tertiary,3229,no,0,yes
10099,10614,51,single,secondary,1610,no,0,yes
10145,10664,51,married,secondary,33,yes,0,yes
10163,10683,46,married,secondary,536,no,0,yes
10193,10721,37,married,tertiary,0,no,0,yes
10198,10726,36,married,tertiary,3057,no,0,yes
10292,10824,47,married,secondary,2892,no,0,yes
10336,10871,40,divorced,tertiary,0,no,0,yes
10410,10947,56,divorced,tertiary,4266,no,0,yes
10411,10948,38,single,tertiary,110,no,0,yes
10421,10959,38,single,tertiary,3316,no,0,yes
10431,10970,40,married,secondary,106,no,0,yes
10446,10986,39,married,primary,2303,no,0,yes
10449,10989,60,married,tertiary,3301,no,0,yes
10570,11115,51,married,primary,67,no,0,yes
10574,11119,39,single,tertiary,426,no,0,yes
10582,11127,51,divorced,secondary,9,no,0,yes
10600,11146,27,married,secondary,-97,no,0,yes
10636,11187,41,single,tertiary,11008,no,0,yes
10640,11192,42,single,primary,4930,no,0,yes
10690,11251,41,married,secondary,707,no,0,yes
10691,11252,33,married,secondary,4,yes,0,yes
10693,11254,46,married,secondary,126,no,0,yes
10719,11284,44,single,primary,1059,no,0,yes
10722,11287,31,married,secondary,671,no,0,yes
10749,11316,51,single,secondary,1994,no,0,yes
10765,11335,32,married,tertiary,607,no,0,yes
10780,11351,41,married,primary,219,yes,0,yes
10870,11448,41,divorced,secondary,3622,no,0,yes
10872,11450,57,single,secondary,5768,no,0,yes
10889,11470,55,divorced,secondary,1580,yes,0,yes
10920,11507,53,married,secondary,1319,no,0,yes
10923,11510,55,married,primary,2152,no,0,yes
10928,11515,39,married,secondary,2843,no,0,yes
10932,11519,36,married,tertiary,1352,no,0,yes
10938,11526,40,married,tertiary,0,no,0,yes
10955,11546,59,married,primary,1115,no,0,yes
10997,11590,52,divorced,tertiary,-309,no,0,yes
11024,11617,42,single,secondary,625,no,0,yes
11025,11618,45,married,tertiary,377,no,0,yes
11026,11619,41,married,primary,246,no,0,yes
11028,11622,27,married,secondary,61,no,0,yes
11037,11631,25,single,secondary,-191,no,0,yes
11103,11702,43,married,primary,519,no,0,yes
11112,11711,60,married,secondary,1690,no,0,yes
11116,11715,48,married,tertiary,5320,no,0,yes
11124,11725,44,married,secondary,522,yes,0,yes
11133,11735,26,single,secondary,-46,no,0,yes
11137,11739,52,married,tertiary,2269,no,0,yes
11138,11740,50,divorced,secondary,396,no,0,yes
11168,11777,56,married,tertiary,0,yes,0,yes
11172,11781,57,married,tertiary,9103,yes,0,yes
11208,11819,42,married,tertiary,-215,no,0,yes
11227,11838,29,single,secondary,908,no,0,yes
11230,11841,47,married,tertiary,1694,yes,0,yes
11235,11846,57,married,tertiary,-92,yes,0,yes
11247,11859,40,married,secondary,188,yes,0,yes
11253,11865,38,single,tertiary,2885,no,0,yes
11355,11977,46,divorced,secondary,0,no,0,yes
11362,11985,49,divorced,secondary,947,no,0,yes
11372,11996,43,single,secondary,740,no,0,yes
11383,12009,45,married,tertiary,655,no,0,yes
11427,12056,24,married,secondary,867,no,0,yes
11456,12089,53,married,secondary,3765,no,0,yes
11506,12145,40,married,secondary,1009,yes,0,yes
11597,12247,36,married,tertiary,4145,no,0,yes
11599,12249,27,single,secondary,-27,no,0,yes
11600,12250,26,single,primary,-122,no,0,yes
11609,12260,43,married,tertiary,149,no,0,yes
11624,12276,25,single,primary,52,no,0,yes
11667,12320,27,married,tertiary,335,no,0,yes
11670,12323,30,married,tertiary,526,yes,0,yes
11694,12347,28,single,secondary,-7,yes,0,yes
11704,12357,27,married,primary,-413,yes,0,yes
11706,12359,32,divorced,secondary,-241,yes,0,yes
11792,12447,41,single,secondary,75,no,0,yes
11835,12491,37,single,tertiary,0,no,0,yes
11839,12495,27,single,secondary,158,no,0,yes
11877,12534,29,single,secondary,84,yes,0,yes
11906,12564,33,married,secondary,114,yes,0,yes
11961,12623,36,married,primary,0,no,0,yes
11988,12650,29,single,primary,339,no,0,yes
11990,12652,44,married,secondary,1697,no,0,yes
11999,12662,28,single,secondary,-127,no,0,yes
12021,12684,49,married,primary,-157,no,0,yes
12022,12685,55,married,secondary,49,no,0,yes
12023,12686,51,married,secondary,216,no,0,yes
12054,12718,39,single,secondary,506,no,0,yes
12063,12727,42,divorced,primary,213,no,0,yes
12064,12728,33,single,secondary,170,no,0,yes
12071,12735,59,married,tertiary,553,no,0,yes
12087,12753,36,divorced,tertiary,776,yes,0,yes
12089,12755,45,married,secondary,879,no,0,yes
12092,12758,37,married,secondary,1633,no,0,yes
12097,12764,46,married,secondary,926,no,0,yes
12127,12795,32,single,tertiary,2559,no,0,yes
12128,12796,32,married,secondary,1604,yes,0,yes
12151,12821,28,single,secondary,909,yes,0,yes
12154,12824,45,divorced,secondary,-176,yes,0,yes
12190,12862,41,single,secondary,1085,yes,0,yes
12194,12866,59,divorced,primary,1265,yes,0,yes
12210,12882,47,single,secondary,-239,yes,0,yes
12227,12899,32,single,secondary,212,no,0,yes
12323,12998,31,single,secondary,726,no,0,yes
12381,13057,31,single,tertiary,296,yes,0,yes
12390,13066,33,married,secondary,-627,yes,0,yes
12391,13067,52,married,tertiary,-468,no,0,yes
12407,13083,27,single,secondary,0,yes,0,yes
12428,13104,26,single,secondary,551,no,0,yes
12431,13107,25,single,secondary,0,yes,0,yes
12434,13111,25,married,secondary,101,yes,0,yes
12464,13146,25,single,secondary,102,yes,0,yes
12473,13155,28,married,secondary,510,yes,0,yes
12482,13164,28,single,secondary,517,yes,0,yes
12491,13174,33,divorced,tertiary,37,yes,0,yes
12494,13177,45,divorced,tertiary,854,yes,0,yes
12503,13186,36,married,secondary,30,yes,0,yes
12518,13201,26,single,secondary,81,yes,0,yes
12544,13228,31,married,secondary,152,yes,0,yes
12574,13260,38,married,secondary,0,no,0,yes
12586,13272,56,single,secondary,663,yes,0,yes
12612,13298,26,single,secondary,102,yes,0,yes
12616,13302,26,married,secondary,370,yes,0,yes
12630,13317,25,single,secondary,189,yes,0,yes
12707,13395,26,single,secondary,111,no,0,yes
12748,13439,40,married,primary,665,no,0,yes
12772,13464,37,married,primary,214,no,0,yes
12774,13466,43,single,primary,0,no,0,yes
12775,13467,58,married,tertiary,776,no,0,yes
12780,13473,41,divorced,tertiary,1583,no,0,yes
12781,13474,49,married,secondary,0,yes,0,yes
12787,13480,43,married,secondary,-754,yes,0,yes
12817,13514,29,divorced,tertiary,0,yes,0,yes
12825,13523,35,divorced,tertiary,6997,no,0,yes
12842,13541,39,divorced,secondary,687,no,0,yes
12846,13545,38,married,tertiary,327,yes,0,yes
12938,13638,26,married,secondary,-119,yes,0,yes
12959,13659,32,married,tertiary,794,yes,0,yes
12966,13666,33,married,primary,-191,yes,0,yes
12969,13669,31,single,tertiary,409,yes,0,yes
12983,13686,49,married,primary,3,yes,0,yes
12987,13690,27,single,primary,9,yes,0,yes
12998,13701,30,single,secondary,155,yes,0,yes
13016,13721,35,married,secondary,1330,no,0,yes
13025,13731,26,single,secondary,-29,no,0,yes
13052,13759,30,married,secondary,167,no,0,yes
13093,13801,34,married,secondary,-33,yes,0,yes
13099,13807,47,married,secondary,182,no,0,yes
13100,13808,59,married,secondary,0,no,0,yes
13123,13831,41,married,secondary,5517,no,0,yes
13184,13892,28,single,secondary,-170,yes,0,yes
13201,13910,29,married,secondary,8,yes,0,yes
13204,13913,25,single,secondary,1243,yes,0,yes
13205,13914,30,single,secondary,1598,no,0,yes
13217,13926,30,married,secondary,5,yes,0,yes
13218,13927,47,married,secondary,367,no,0,yes
13223,13932,57,divorced,secondary,658,no,0,yes
13224,13933,38,married,tertiary,1722,no,0,yes
13227,13936,54,married,secondary,-315,yes,0,yes
13235,13944,25,single,primary,2483,no,0,yes
13274,13983,30,married,secondary,0,yes,0,yes
13277,13986,26,single,tertiary,45,no,0,yes
13284,13993,31,married,primary,46,no,0,yes
13294,14003,29,single,secondary,482,yes,0,yes
13323,14033,32,married,secondary,514,no,0,yes
13390,14101,49,married,secondary,3728,no,0,yes
13407,14118,35,single,primary,167,yes,0,yes
13437,14149,60,divorced,secondary,1099,no,0,yes
13438,14150,60,married,tertiary,2222,no,0,yes
13441,14153,29,single,tertiary,983,no,0,yes
13443,14155,55,divorced,secondary,204,no,0,yes
13487,14203,44,married,secondary,1074,no,0,yes
13499,14217,47,married,secondary,3466,no,0,yes
13503,14221,35,married,secondary,-203,no,0,yes
13576,14297,35,married,secondary,2436,yes,0,yes
13597,14319,43,married,tertiary,0,no,0,yes
13631,14353,38,married,secondary,976,no,0,yes
13640,14364,34,married,tertiary,146,no,0,yes
13658,14384,50,married,secondary,156,yes,0,yes
13672,14398,43,married,tertiary,189,no,0,yes
13697,14423,44,divorced,secondary,163,no,0,yes
13724,14450,51,divorced,secondary,242,yes,0,yes
13730,14456,31,married,secondary,1173,no,0,yes
13758,14484,39,married,tertiary,0,no,0,yes
13793,14519,59,married,tertiary,296,yes,0,yes
13831,14560,45,married,secondary,0,yes,0,yes
13833,14562,25,single,secondary,333,yes,0,yes
13839,14569,58,married,tertiary,3864,no,0,yes
13860,14591,30,married,primary,2686,no,0,yes
13888,14619,34,single,primary,-109,no,0,yes
13907,14638,45,divorced,primary,-207,no,0,yes
13911,14643,51,divorced,secondary,65,yes,0,yes
13913,14645,60,married,secondary,597,no,0,yes
13916,14648,32,divorced,tertiary,222,yes,0,yes
13917,14649,51,married,secondary,-799,yes,0,yes
13935,14667,37,divorced,tertiary,1775,no,0,yes
13949,14682,30,single,primary,0,no,0,yes
13952,14685,41,divorced,primary,664,yes,0,yes
13965,14698,36,divorced,secondary,0,yes,0,yes
13991,14724,46,divorced,secondary,-563,yes,0,yes
13993,14726,29,single,tertiary,5,no,0,yes
13995,14728,25,married,secondary,0,yes,0,yes
13997,14730,39,married,tertiary,285,no,0,yes
14009,14743,27,married,tertiary,139,no,0,yes
14010,14744,35,single,secondary,885,no,0,yes
14026,14760,28,single,tertiary,0,no,0,yes
14049,14784,34,single,secondary,855,no,0,yes
14080,14817,27,single,tertiary,151,no,0,yes
14083,14820,26,single,secondary,354,no,0,yes
14085,14822,36,married,tertiary,673,no,0,yes
14091,14829,44,married,primary,1265,no,0,yes
14094,14832,39,married,tertiary,597,no,0,yes
14102,14841,30,married,secondary,-393,yes,0,yes
14109,14848,36,married,secondary,324,yes,0,yes
14114,14853,31,divorced,tertiary,256,no,0,yes
14132,14871,56,married,primary,0,no,0,yes
